MonthDay,mean,sd1,sd1low,sd2,sd2low,Block,MonthDayYear
08-06,299.5,370.62516765311847,228.37483234688153,441.75033530623693,157.24966469376304,2000-2020,2000-08-06
08-07,296.3,367.4189515049111,225.18104849508893,438.5379030098222,154.06209699017785,2000-2020,2000-08-07
08-08,291.25,355.9963675063177,226.50363249368226,420.7427350126355,161.75726498736452,2000-2020,2000-08-08
08-09,284.65,344.6572583329015,224.64274166709845,404.66451666580303,164.63548333419692,2000-2020,2000-08-09
08-10,281.75,340.54301336938454,222.95698663061543,399.33602673876914,164.16397326123086,2000-2020,2000-08-10
08-11,279.6,333.81536002977293,225.38463997022714,388.0307200595458,171.16927994045426,2000-2020,2000-08-11
08-12,274.5,325.5907345601405,223.4092654398595,376.681469120281,172.31853087971896,2000-2020,2000-08-12
08-13,268.05,314.87495398598355,221.2250460140165,361.69990797196704,174.400092028033,2000-2020,2000-08-13
08-14,263.55,307.36597281453663,219.73402718546342,351.1819456290732,175.91805437092682,2000-2020,2000-08-14
08-15,259.9,300.0299205869609,219.77007941303907,340.1598411739218,179.64015882607816,2000-2020,2000-08-15
08-16,254.75,290.60331959966595,218.89668040033408,326.45663919933185,183.04336080066815,2000-2020,2000-08-16
08-17,251.45,283.315630717948,219.58436928205197,315.181261435896,187.71873856410397,2000-2020,2000-08-17
08-18,246.4,276.9758762838666,215.8241237161334,307.5517525677332,185.24824743226682,2000-2020,2000-08-18
08-19,242.25,273.52446410832897,210.97553589167103,304.79892821665794,179.70107178334203,2000-2020,2000-08-19
08-20,236.05,267.4514330883162,204.64856691168382,298.8528661766324,173.2471338233676,2000-2020,2000-08-20
08-21,229.25,259.8576615795526,198.6423384204474,290.4653231591052,168.03467684089478,2000-2020,2000-08-21
08-22,226.35,259.7049885797896,192.9950114202104,293.0599771595792,159.64002284042078,2000-2020,2000-08-22
08-23,220.25,253.62959509072948,186.87040490927052,287.00919018145896,153.490809818541,2000-2020,2000-08-23
08-24,213,245.19185905588063,180.80814094411937,277.38371811176125,148.61628188823875,2000-2020,2000-08-24
08-25,207.25,242.4275571396848,172.0724428603152,277.6051142793696,136.89488572063038,2000-2020,2000-08-25
